Bait Accession,Prey Accession,SAINT_24,24HPI,SAINT_48,48HPI,SAINT_72,72HPi,SAINT_96,96HPI,SAINT_120,120HPI
P16778,Q8IXI2,0,4299.67052,0.34,5834.664763,0.8,12863.18515,0.96,10178.18988,0.79,3087.616794
P16778,Q9NVI7,0.94,97616.17592,0.96,181388.1596,1,159731.8616,0.99,197671.95,1,99279.94882
P16778,P19404,0,11462.58681,0,6063.865259,0.82,5584.525253,0.9,6702.268588,0,5844.439442
P16778,Q9UJZ1,0.73,76353.86541,0.99,84770.82166,0.99,84590.07152,1,144881.4863,1,77017.74597
P16778,O96008,0.91,66163.95913,0.86,70683.81561,1,106155.9247,1,108520.5129,1,80402.00915
P16778,Q16891,1,504183.2062,1,1143901.956,1,618702.3594,1,780480.4371,1,388410.4423
P16778,Q5T160,0,7646.513192,0.61,8505.750403,0.96,8283.34581,0.95,7599.689504,0.91,6341.454178
P16778,Q96TA2,0.65,53316.68755,0.64,106718.4116,0.85,63195.94072,0.99,53526.31428,1,35303.78476
P16778,P32189,0.46,90788.71888,0.46,76031.997,0.98,71756.97009,0.43,68225.73413,1,45252.26585
P16778,Q07812,1,1605662.881,1,1803345.398,1,1751506.476,1,2291182.73,1,1439758.522
