accession,genename,GOIDs,localizations,organism,type
P00491,PNP,GO:0001882; GO:0002060; GO:0004731; GO:0005576; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0006139; GO:0006148; GO:0006195; GO:0006738; GO:0006955; GO:0008144; GO:0009165; GO:0034418; GO:0034774; GO:0042102; GO:0042301; GO:0042493; GO:0043101; GO:0043312; GO:0046638; GO:0070062; GO:0070970; GO:1904813,Cytoplasm; Cytoskeleton,Homo sapiens (Human),Background Only
P25490,YY1,GO:0000122; GO:0000400; GO:0000724; GO:0000790; GO:0000978; GO:0000980; GO:0000981; GO:0000987; GO:0001158; GO:0001227; GO:0003677; GO:0003700; GO:0003713; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006357; GO:0006403; GO:0006974; GO:0007283; GO:0008270; GO:0009952; GO:0010225; GO:0010629; GO:0016363; GO:0016579; GO:0030154; GO:0031011; GO:0031519; GO:0032688; GO:0034644; GO:0034696; GO:0043565; GO:0044212; GO:0045944; GO:0046332; GO:0048593; GO:0051276; GO:0061052; GO:0071347; GO:1902894,Nucleus matrix,Homo sapiens (Human),Background Only
P19634,SLC9A1,GO:0005516; GO:0005546; GO:0005654; GO:0005737; GO:0005739; GO:0005783; GO:0005789; GO:0005886; GO:0005887; GO:0005925; GO:0006811; GO:0006883; GO:0006885; GO:0009986; GO:0010447; GO:0010613; GO:0010882; GO:0014704; GO:0015299; GO:0015385; GO:0015386; GO:0016021; GO:0016323; GO:0016324; GO:0016477; GO:0030011; GO:0030027; GO:0030214; GO:0030307; GO:0030315; GO:0030346; GO:0030674; GO:0032869; GO:0035794; GO:0035994; GO:0036376; GO:0043065; GO:0043066; GO:0045121; GO:0045760; GO:0045944; GO:0048306; GO:0048471; GO:0051259; GO:0051453; GO:0051492; GO:0051893; GO:0051930; GO:0055007; GO:0060090; GO:0070062; GO:0070417; GO:0070886; GO:0070997; GO:0071236; GO:0071257; GO:0071260; GO:0071456; GO:0071468; GO:0071805; GO:0071872; GO:0086003; GO:0086036; GO:0086040; GO:0086092; GO:0090533; GO:0098719; GO:0098735; GO:1902600; GO:1903281,Membrane; Endoplasmic reticulum membrane; Cell membrane,Homo sapiens (Human),Background Only
O15269,SPTLC1,GO:0004758; GO:0005783; GO:0005789; GO:0006665; GO:0006686; GO:0016021; GO:0017059; GO:0030148; GO:0030170; GO:0035339; GO:0046511; GO:0046512; GO:0046513; GO:1904504; GO:1904649,Endoplasmic reticulum membrane,Homo sapiens (Human),Both
O60493,SNX3,GO:0005737; GO:0005769; GO:0005829; GO:0009617; GO:0010008; GO:0010314; GO:0010324; GO:0010976; GO:0015031; GO:0016055; GO:0016579; GO:0019903; GO:0022615; GO:0030111; GO:0030136; GO:0031901; GO:0032009; GO:0032266; GO:0042177; GO:0046597; GO:0050765; GO:0051224; GO:0070062; GO:0070273; GO:0070676; GO:0080025; GO:2000642,Early endosome; Cytoplasmic vesicle; Phagosome,Homo sapiens (Human),Background Only
Q92625,ANKS1A,GO:0005654; GO:0005829; GO:0006929; GO:0016322; GO:0043005; GO:0046875; GO:0048013; GO:1901187,Cytoplasm; Cell projection,Homo sapiens (Human),Background Only
Q9NPA8,ENY2,GO:0000124; GO:0003682; GO:0003713; GO:0005654; GO:0005739; GO:0006357; GO:0006368; GO:0016578; GO:0016973; GO:0030374; GO:0044615; GO:0045893; GO:0061179; GO:0070390; GO:0071819,Nucleus; Nucleoplasm; Nuclear pore complex,Homo sapiens (Human),Background Only
P54577,YARS,GO:0000049; GO:0003723; GO:0004831; GO:0005153; GO:0005524; GO:0005615; GO:0005737; GO:0005829; GO:0006418; GO:0006437; GO:0006915; GO:0016604; GO:0017101,Cytoplasm,Homo sapiens (Human),Background Only
Q969V3,NCLN,GO:0005789; GO:0009966; GO:0016020; GO:0016021; GO:0032991; GO:0043254; GO:0050821; GO:0061635,Endoplasmic reticulum membrane,Homo sapiens (Human),Background Only
NA,,,,,Background Only
Q6UW63,POGLUT2,GO:0005788; GO:0018242; GO:0030158; GO:0035251; GO:0035252; GO:0046527,Endoplasmic reticulum lumen,Homo sapiens (Human),Background Only
Q0IIM8,TBC1D8B,GO:0005096; GO:0005509; GO:0005623; GO:0006886; GO:0017137; GO:0090630,,Homo sapiens (Human),Background Only
Q9Y277,VDAC3,GO:0000166; GO:0001662; GO:0005634; GO:0005739; GO:0005741; GO:0007270; GO:0007612; GO:0008308; GO:0015288; GO:0015853; GO:0046930; GO:0070062; GO:1902017,Mitochondrion outer membrane,Homo sapiens (Human),Both
Q99700,ATXN2,GO:0002091; GO:0003723; GO:0005154; GO:0005737; GO:0005794; GO:0005802; GO:0005829; GO:0005844; GO:0006417; GO:0008022; GO:0010494; GO:0010603; GO:0016020; GO:0016070; GO:0033962; GO:0034063; GO:0048471; GO:0050658; GO:1990904,Cytoplasm,Homo sapiens (Human),Background Only
P49768,PSEN1,GO:0000045; GO:0000122; GO:0000139; GO:0000186; GO:0000776; GO:0001568; GO:0001708; GO:0001756; GO:0001764; GO:0001921; GO:0001947; GO:0002038; GO:0002244; GO:0002265; GO:0002286; GO:0003407; GO:0004175; GO:0004190; GO:0005262; GO:0005634; GO:0005640; GO:0005739; GO:0005743; GO:0005783; GO:0005789; GO:0005790; GO:0005791; GO:0005794; GO:0005813; GO:0005886; GO:0005887; GO:0005938; GO:0006486; GO:0006509; GO:0006839; GO:0006974; GO:0006979; GO:0007175; GO:0007220; GO:0007611; GO:0007613; GO:0008013; GO:0008021; GO:0009791; GO:0009986; GO:0010628; GO:0010629; GO:0010975; GO:0015031; GO:0015871; GO:0016020; GO:0016021; GO:0016080; GO:0016235; GO:0016485; GO:0021549; GO:0021795; GO:0021870; GO:0021904; GO:0030054; GO:0030165; GO:0030326; GO:0030426; GO:0031293; GO:0031594; GO:0031901; GO:0031965; GO:0032092; GO:0032436; GO:0032469; GO:0032991; GO:0034205; GO:0035253; GO:0035333; GO:0035556; GO:0035577; GO:0042307; GO:0042325; GO:0042327; GO:0042383; GO:0042500; GO:0042535; GO:0042982; GO:0042987; GO:0043005; GO:0043011; GO:0043025; GO:0043065; GO:0043066; GO:0043085; GO:0043198; GO:0043312; GO:0043524; GO:0043589; GO:0045121; GO:0045296; GO:0045821; GO:0045893; GO:0048013; GO:0048143; GO:0048167; GO:0048538; GO:0048666; GO:0048705; GO:0048854; GO:0050673; GO:0050771; GO:0050808; GO:0050820; GO:0050852; GO:0051402; GO:0051444; GO:0051563; GO:0051966; GO:0060075; GO:0060828; GO:0060999; GO:0070765; GO:0090647; GO:0098609; GO:0099056; GO:1904646; GO:1904797; GO:1905908; GO:1990535; GO:2000059; GO:2001234,Endoplasmic reticulum; Endoplasmic reticulum membrane; Golgi apparatus membrane; Cytoplasmic granule; Cell membrane; Cell projection; Growth cone; Early endosome; Early endosome membrane,Homo sapiens (Human),Background Only
Q9H7U1,CCSER2,GO:0001578; GO:0005737; GO:0008017; GO:0015630,Cytoplasm; Cytoskeleton,Homo sapiens (Human),Background Only
O95684,FGFR1OP,GO:0000086; GO:0005634; GO:0005813; GO:0005814; GO:0005829; GO:0006469; GO:0008284; GO:0010389; GO:0019901; GO:0030292; GO:0030307; GO:0030335; GO:0034453; GO:0042803; GO:0042995; GO:0048471; GO:0097711,Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cilium basal body,Homo sapiens (Human),Background Only
Q9H1A4,ANAPC1,GO:0005654; GO:0005680; GO:0005829; GO:0006511; GO:0007091; GO:0031145; GO:0051301; GO:0070979; GO:1901990,,Homo sapiens (Human),Background Only
Q8WV92,MITD1,GO:0000281; GO:0019898; GO:0019904; GO:0030496; GO:0031902; GO:0032091; GO:0035091; GO:0042803; GO:0043231; GO:0061952; GO:0070062,Late endosome membrane; Midbody; Membrane,Homo sapiens (Human),Background Only
Q15652,JMJD1C,GO:0000785; GO:0000976; GO:0005634; GO:0005654; GO:0006355; GO:0007596; GO:0031490; GO:0032454; GO:0033169; GO:0046872; GO:0046966; GO:0051213,Nucleus,Homo sapiens (Human),Background Only
Q9BQE4,SELENOS,GO:0002865; GO:0005783; GO:0005789; GO:0005881; GO:0005886; GO:0006111; GO:0006983; GO:0009749; GO:0016209; GO:0016567; GO:0019899; GO:0030176; GO:0030433; GO:0030968; GO:0030970; GO:0032715; GO:0032720; GO:0032869; GO:0034361; GO:0034362; GO:0034599; GO:0036502; GO:0036513; GO:0038023; GO:0045184; GO:0045454; GO:0045719; GO:0046325; GO:0050728; GO:0051117; GO:0051771; GO:0051775; GO:0071222; GO:0080164; GO:1902236; GO:1990381; GO:2000110,Endoplasmic reticulum membrane; Cytoplasm,Homo sapiens (Human),Background Only
Q16740,CLPP,GO:0004176; GO:0004252; GO:0005739; GO:0005759; GO:0006515; GO:0008233; GO:0009368; GO:0042802; GO:0051117; GO:0051260; GO:0051603,Mitochondrion matrix,Homo sapiens (Human),Background Only
Q9HDC9,APMAP,GO:0004064; GO:0005783; GO:0009058; GO:0009986; GO:0016020; GO:0016021; GO:0016844,Membrane,Homo sapiens (Human),Background Only
Q14320,FAM50A,GO:0003723; GO:0005634; GO:0005654; GO:0007283,Nucleus,Homo sapiens (Human),Background Only
Q01968,OCRL,GO:0001701; GO:0001750; GO:0004439; GO:0005096; GO:0005634; GO:0005737; GO:0005769; GO:0005795; GO:0005798; GO:0005802; GO:0005829; GO:0005886; GO:0005905; GO:0006629; GO:0006661; GO:0007165; GO:0016020; GO:0030136; GO:0030670; GO:0031901; GO:0043087; GO:0043647; GO:0046855; GO:0046856; GO:0048365; GO:0051056; GO:0052745; GO:0060271; GO:0061024,Cytoplasmic vesicle; Phagosome membrane; Early endosome membrane; Membrane; Clathrin-coated pit; Cell projection; Cilium; Photoreceptor outer segment; Endosome; Golgi apparatus; trans-Golgi network; Lysosome,Homo sapiens (Human),Background Only
Q9BS26,ERP44,GO:0003756; GO:0005576; GO:0005788; GO:0005789; GO:0005793; GO:0006457; GO:0006986; GO:0009100; GO:0009986; GO:0034976; GO:0035580; GO:0043312; GO:0045454; GO:0070062,Endoplasmic reticulum lumen,Homo sapiens (Human),Background Only
Q66K14,TBC1D9B,GO:0005096; GO:0005509; GO:0005623; GO:0006886; GO:0016021; GO:0017137; GO:0090630,Membrane,Homo sapiens (Human),Background Only
Q14142,TRIM14,GO:0005737; GO:0005741; GO:0008270; GO:0032897; GO:0045087; GO:0051091; GO:0051092,Mitochondrion outer membrane,Homo sapiens (Human),Background Only
O95785,WIZ,GO:0003676; GO:0003700; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0010571; GO:0030496; GO:0046872; GO:0050821; GO:0070062; GO:0070208; GO:0070984,Nucleus,Homo sapiens (Human),Background Only
Q8N350,CBARP,GO:0005886; GO:0016021; GO:0030054; GO:0030141; GO:0030426; GO:0030672; GO:0044325; GO:0045955; GO:1901386; GO:1903170,Cytoplasmic vesicle; Secretory vesicle; Synaptic vesicle membrane; Cell membrane; Cell projection; Growth cone,Homo sapiens (Human),Background Only
O60504,SORBS3,GO:0000122; GO:0005200; GO:0005634; GO:0005829; GO:0005856; GO:0005925; GO:0006936; GO:0007015; GO:0007155; GO:0008134; GO:0017166; GO:0031589; GO:0043410; GO:0051495; GO:0051496,Cell junction; Cytoplasm; Cytoskeleton; Nucleus,Homo sapiens (Human),Background Only
Q6NUQ4,TMEM214,GO:0005783; GO:0005789; GO:0005794; GO:0005829; GO:0005881; GO:0006915; GO:0016021,Endoplasmic reticulum membrane,Homo sapiens (Human),Background Only
P50148,GNAQ,GO:0001508; GO:0001664; GO:0001750; GO:0003924; GO:0005096; GO:0005525; GO:0005737; GO:0005765; GO:0005834; GO:0005886; GO:0006469; GO:0007186; GO:0007188; GO:0007189; GO:0007202; GO:0007213; GO:0007215; GO:0007596; GO:0007603; GO:0009649; GO:0030168; GO:0031683; GO:0031826; GO:0031965; GO:0046872; GO:0050821; GO:0060828; GO:0070062,Nucleus; Membrane; Nucleus membrane,Homo sapiens (Human),Background Only
Q7L576,CYFIP1,GO:0000340; GO:0000902; GO:0001726; GO:0005576; GO:0005829; GO:0005845; GO:0005925; GO:0006417; GO:0007411; GO:0008360; GO:0016601; GO:0030027; GO:0030031; GO:0030032; GO:0031209; GO:0031529; GO:0032433; GO:0032869; GO:0034774; GO:0035580; GO:0038096; GO:0043005; GO:0043025; GO:0043195; GO:0043197; GO:0043312; GO:0044294; GO:0044295; GO:0045182; GO:0045202; GO:0045773; GO:0048010; GO:0048365; GO:0048471; GO:0048675; GO:0050890; GO:0051015; GO:0051388; GO:0051602; GO:0060076; GO:0070062; GO:0090724; GO:0090725; GO:0097484; GO:0099563; GO:0099578; GO:1900006; GO:1900029; GO:1903422; GO:1904724; GO:1905274; GO:2000601,Cytoplasm; Perinuclear region; Cell projection; Lamellipodium; Ruffle; Cell junction; Synapse; Synaptosome,Homo sapiens (Human),Background Only
Q9BQE9,BCL7B,GO:0003779; GO:0006915; GO:0016055; GO:0030154,,Homo sapiens (Human),Background Only
Q9UDR5,AASS,GO:0004753; GO:0005737; GO:0005739; GO:0005759; GO:0006554; GO:0033512; GO:0043231; GO:0047130; GO:0047131; GO:0051262,Mitochondrion,Homo sapiens (Human),Background Only
Q8IYU8,MICU2,GO:0005509; GO:0005739; GO:0005743; GO:0005758; GO:0006851; GO:0034704; GO:0036444; GO:0046982; GO:0051560; GO:0051561; GO:0051562; GO:1990246,Mitochondrion intermembrane space,Homo sapiens (Human),Both
O60231,DHX16,GO:0000398; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0005681; GO:0008380; GO:0016887; GO:0034458; GO:0071005,Nucleus; Nucleoplasm,Homo sapiens (Human),Background Only
Q6PD62,CTR9,GO:0000122; GO:0000993; GO:0001711; GO:0001826; GO:0001829; GO:0001832; GO:0001835; GO:0005654; GO:0006366; GO:0006368; GO:0007259; GO:0010390; GO:0016055; GO:0016567; GO:0016593; GO:0016607; GO:0019827; GO:0032968; GO:0033523; GO:0035327; GO:0042169; GO:0045638; GO:0045944; GO:0051569; GO:0051571; GO:0070102; GO:0071222; GO:0080182; GO:1900364; GO:2000653; GO:2001162; GO:2001168,Nucleus speckle,Homo sapiens (Human),Background Only
Q9Y6Y0,IVNS1ABP,GO:0005654; GO:0005667; GO:0005681; GO:0005829; GO:0005856; GO:0006383; GO:0008380; GO:0009615; GO:0016032; GO:0031397; GO:2001243,Cytoplasm; Cytoskeleton; Nucleus; Nucleoplasm,Homo sapiens (Human),Background Only
Q15773,MLF2,GO:0003677; GO:0005634; GO:0005737; GO:0006355; GO:0016020,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
P15121,AKR1B1,GO:0001523; GO:0001758; GO:0001894; GO:0003091; GO:0004032; GO:0005615; GO:0005654; GO:0005829; GO:0005975; GO:0006061; GO:0006700; GO:0008106; GO:0009055; GO:0009414; GO:0016491; GO:0018931; GO:0031098; GO:0032838; GO:0033010; GO:0035809; GO:0042415; GO:0042629; GO:0043066; GO:0043220; GO:0043795; GO:0044597; GO:0044598; GO:0046370; GO:0046427; GO:0047655; GO:0048471; GO:0048661; GO:0052650; GO:0055114; GO:0060135; GO:0070062; GO:0071475; GO:0072061; GO:0072205; GO:0097066; GO:0097238; GO:0097454; GO:1901653,Cytoplasm,Homo sapiens (Human),Background Only
O94952,FBXO21,GO:0000151; GO:0000209; GO:0003677; GO:0004842; GO:0005829; GO:0006511; GO:0043687,,Homo sapiens (Human),Background Only
Q96MF7,NSMCE2,GO:0000722; GO:0000724; GO:0000781; GO:0005634; GO:0005654; GO:0007049; GO:0008270; GO:0016604; GO:0016605; GO:0019789; GO:0030915; GO:0034184; GO:0045842; GO:0051301; GO:0090398,Nucleus; Chromosome; Telomere; PML body,Homo sapiens (Human),Background Only
Q16186,ADRM1,GO:0000502; GO:0002020; GO:0005654; GO:0005829; GO:0005886; GO:0006368; GO:0006511; GO:0008541; GO:0016579; GO:0043130; GO:0043248; GO:0061133; GO:0070628,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
P23526,AHCY,GO:0000096; GO:0001666; GO:0002439; GO:0004013; GO:0005634; GO:0005829; GO:0006730; GO:0007584; GO:0019510; GO:0030554; GO:0032259; GO:0033353; GO:0042470; GO:0042745; GO:0042802; GO:0043005; GO:0051287; GO:0070062,Cytoplasm; Melanosome,Homo sapiens (Human),Background Only
Q9UPU7,TBC1D2B,GO:0005096; GO:0005829; GO:0006886; GO:0017137; GO:0090630,,Homo sapiens (Human),Background Only
Q5NDL2,EOGT,GO:0005788; GO:0006493; GO:0016262,Endoplasmic reticulum lumen,Homo sapiens (Human),Background Only
Q15054,POLD3,GO:0000723; GO:0000731; GO:0003887; GO:0005634; GO:0005654; GO:0005737; GO:0006271; GO:0006283; GO:0006296; GO:0006297; GO:0006298; GO:0019985; GO:0032201; GO:0033683; GO:0042769; GO:0043625; GO:1904161,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
P01034,CST3,GO:0001540; GO:0002020; GO:0004866; GO:0004869; GO:0005576; GO:0005615; GO:0005783; GO:0005788; GO:0005794; GO:0005886; GO:0006952; GO:0010466; GO:0010711; GO:0010716; GO:0030414; GO:0034103; GO:0042802; GO:0043312; GO:0043687; GO:0044267; GO:0045861; GO:0060311; GO:0060313; GO:0070062; GO:0097435; GO:1904724; GO:1904813,Secreted,Homo sapiens (Human),Background Only
P46439,GSTM5,GO:0004364; GO:0005829; GO:0006749; GO:0042178; GO:0042802; GO:0045171; GO:1901687,Cytoplasm,Homo sapiens (Human),Background Only
P51531,SMARCA2,GO:0000122; GO:0000790; GO:0003677; GO:0003682; GO:0003713; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0006338; GO:0006355; GO:0006357; GO:0007286; GO:0007399; GO:0008094; GO:0008285; GO:0016514; GO:0030308; GO:0042393; GO:0043044; GO:0043231; GO:0044212; GO:0045111; GO:0045892; GO:0045893; GO:0045944; GO:0071564; GO:0071565,Nucleus,Homo sapiens (Human),Background Only
P11177,PDHB,GO:0004738; GO:0004739; GO:0005634; GO:0005654; GO:0005739; GO:0005759; GO:0006006; GO:0006086; GO:0006090; GO:0006099; GO:0045254; GO:0061732,Mitochondrion matrix,Homo sapiens (Human),Background Only
P19388,POLR2E,GO:0000398; GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0005829; GO:0006283; GO:0006351; GO:0006361; GO:0006362; GO:0006363; GO:0006366; GO:0006367; GO:0006368; GO:0006370; GO:0006383; GO:0008543; GO:0016032; GO:0016070; GO:0032481; GO:0035019; GO:0042795; GO:0045815; GO:0050434; GO:0060964,Nucleus,Homo sapiens (Human),Background Only
P61225,RAP2B,GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0005923; GO:0007165; GO:0016020; GO:0019003; GO:0019904; GO:0030168; GO:0030336; GO:0031954; GO:0032486; GO:0035579; GO:0043312; GO:0044291; GO:0045121; GO:0055038; GO:0061097; GO:0070062; GO:0070527; GO:0070821,Recycling endosome membrane,Homo sapiens (Human),Background Only
P54289,CACNA2D1,GO:0005245; GO:0005886; GO:0005891; GO:0006816; GO:0016529; GO:0046872; GO:0051924; GO:0060307; GO:0060402; GO:0061337; GO:0061577; GO:0070062; GO:0086002; GO:0086048; GO:0086091; GO:0098703; GO:0098903; GO:1901843; GO:1902514; GO:1904646; GO:1990454,Membrane,Homo sapiens (Human),Background Only
Q9NZ52,GGA3,GO:0005794; GO:0005802; GO:0006886; GO:0010008; GO:0030306; GO:0031647; GO:0031648; GO:0031901; GO:0032456; GO:0034394; GO:0043001; GO:0043130; GO:0044267; GO:0045732; GO:0055038; GO:0061462; GO:1902430,Golgi apparatus; trans-Golgi network membrane; Endosome membrane; Early endosome membrane; Recycling endosome membrane,Homo sapiens (Human),Background Only
P12694,BCKDHA,GO:0003826; GO:0003863; GO:0005739; GO:0005759; GO:0005947; GO:0009083; GO:0016831; GO:0046872,Mitochondrion matrix,Homo sapiens (Human),Background Only
O60684,KPNA6,GO:0005643; GO:0005654; GO:0005829; GO:0006607; GO:0008139; GO:0016020; GO:0030683; GO:0043657; GO:0045944; GO:0060135; GO:0061608; GO:0075506; GO:1900017; GO:1903902,,Homo sapiens (Human),Background Only
Q96CM8,ACSF2,GO:0003996; GO:0005524; GO:0005759; GO:0006631; GO:0006637,Mitochondrion,Homo sapiens (Human),Background Only
Q8WU10,PYROXD1,GO:0005634; GO:0016491; GO:0030017; GO:0034599,Nucleus; Cytoplasm; Myofibril; Sarcomere,Homo sapiens (Human),Background Only
P05362,ICAM1,GO:0001541; GO:0001618; GO:0001772; GO:0001910; GO:0001975; GO:0002291; GO:0002438; GO:0002457; GO:0002693; GO:0004888; GO:0005178; GO:0005615; GO:0005886; GO:0005887; GO:0005925; GO:0007155; GO:0007157; GO:0007159; GO:0007569; GO:0007605; GO:0008360; GO:0009897; GO:0009986; GO:0010212; GO:0010477; GO:0016020; GO:0019221; GO:0022614; GO:0030198; GO:0030838; GO:0031669; GO:0032868; GO:0033627; GO:0034698; GO:0038023; GO:0043200; GO:0043547; GO:0044406; GO:0045121; GO:0045429; GO:0045471; GO:0045907; GO:0046688; GO:0046813; GO:0050731; GO:0050776; GO:0050900; GO:0051092; GO:0051926; GO:0060333; GO:0061028; GO:0062023; GO:0070062; GO:0070374; GO:0071222; GO:0071312; GO:0071333; GO:0071347; GO:0071354; GO:0071356; GO:0071456; GO:0071549; GO:0072683; GO:0090557; GO:0097368; GO:1900027; GO:1902042; GO:1904646; GO:1904996; GO:1990830; GO:2000352,Membrane,Homo sapiens (Human),Background Only
P0CG29,GSTT2,GO:0004364; GO:0005737; GO:0006749; GO:0070062,Cytoplasm,Homo sapiens (Human),Background Only
Q96RQ1,ERGIC2,GO:0005634; GO:0005730; GO:0005737; GO:0005783; GO:0006888; GO:0006890; GO:0016020; GO:0030134; GO:0030173; GO:0030176; GO:0033116; GO:0043231,Endoplasmic reticulum-Golgi intermediate compartment membrane; Golgi apparatus; cis-Golgi network membrane; Endoplasmic reticulum membrane; Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
Q9C0F1,CEP44,GO:0000922; GO:0005737; GO:0005813; GO:0030496,Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Spindle pole; Midbody,Homo sapiens (Human),Background Only
Q8TBM8,DNAJB14,GO:0005783; GO:0005789; GO:0016020; GO:0016021; GO:0030433; GO:0030544; GO:0031965; GO:0034622; GO:0051085; GO:0071218,Endoplasmic reticulum membrane; Nucleus membrane,Homo sapiens (Human),Background Only
Q9Y546,LRRC42,,,Homo sapiens (Human),Background Only
Q8WY36,BBX,GO:0000790; GO:0000981; GO:0003677; GO:0005654; GO:0005829; GO:0060348,Nucleus,Homo sapiens (Human),Background Only
P53667,LIMK1,GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005925; GO:0006468; GO:0007165; GO:0007266; GO:0007399; GO:0016020; GO:0016607; GO:0030027; GO:0030036; GO:0031072; GO:0032233; GO:0038096; GO:0043005; GO:0045773; GO:0046872; GO:0046982; GO:0051444; GO:0051496,Cytoplasm; Nucleus; Cell projection; Lamellipodium,Homo sapiens (Human),Background Only
P62993,GRB2,GO:0000165; GO:0001784; GO:0003723; GO:0005070; GO:0005154; GO:0005168; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005768; GO:0005794; GO:0005829; GO:0005886; GO:0005911; GO:0007173; GO:0007265; GO:0007267; GO:0007411; GO:0007568; GO:0008180; GO:0008286; GO:0008543; GO:0012506; GO:0016032; GO:0017124; GO:0019221; GO:0019901; GO:0019903; GO:0030838; GO:0031295; GO:0031623; GO:0035635; GO:0035723; GO:0038095; GO:0038096; GO:0038128; GO:0042059; GO:0042770; GO:0042802; GO:0043408; GO:0043560; GO:0046579; GO:0046875; GO:0048011; GO:0048646; GO:0050900; GO:0051291; GO:0051897; GO:0060670; GO:0061024; GO:0070062; GO:0070436; GO:0071479; GO:2000379,Nucleus; Cytoplasm; Endosome; Golgi apparatus,Homo sapiens (Human),Background Only
Q92804,TAF15,GO:0003677; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0006366; GO:0006367; GO:0045893; GO:0046872; GO:1901796,Nucleus; Cytoplasm,Homo sapiens (Human),Background Only
Q16254,E2F4,GO:0000083; GO:0000122; GO:0000790; GO:0000978; GO:0000981; GO:0001228; GO:0002064; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0006884; GO:0006977; GO:0008015; GO:0008134; GO:0009887; GO:0010243; GO:0010767; GO:0019904; GO:0042127; GO:0043565; GO:0044458; GO:0045944; GO:0046983; GO:0051726; GO:0090575; GO:0098534; GO:1903251; GO:1990841,Nucleus,Homo sapiens (Human),Background Only
P54762,EPHB1,GO:0001525; GO:0001771; GO:0004714; GO:0005005; GO:0005524; GO:0005576; GO:0005783; GO:0005829; GO:0005886; GO:0005887; GO:0007169; GO:0007411; GO:0008046; GO:0014719; GO:0021631; GO:0021952; GO:0022008; GO:0030010; GO:0030424; GO:0030425; GO:0031290; GO:0031589; GO:0031901; GO:0032433; GO:0043005; GO:0043235; GO:0044877; GO:0045121; GO:0046328; GO:0046777; GO:0048013; GO:0048593; GO:0050804; GO:0050965; GO:0051965; GO:0060326; GO:0060996; GO:0060997; GO:0061351; GO:0070062; GO:0070372; GO:0098978; GO:1901214; GO:1902723; GO:1902725,Cell membrane; Early endosome membrane; Cell projection; Dendrite,Homo sapiens (Human),Background Only
O75419,CDC45,GO:0000076; GO:0000082; GO:0000083; GO:0000727; GO:0003682; GO:0003688; GO:0003697; GO:0005634; GO:0005654; GO:0005656; GO:0005737; GO:0005813; GO:0006260; GO:0006270; GO:0031261; GO:0031298; GO:0031938; GO:0043138; GO:1900087; GO:1902977,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
P78345,RPP38,GO:0001650; GO:0001682; GO:0004526; GO:0005654; GO:0005730; GO:0006364; GO:0030681; GO:0033204,Nucleus; Nucleolus,Homo sapiens (Human),Background Only
P62854,RPS26,GO:0000184; GO:0002181; GO:0003723; GO:0003729; GO:0003735; GO:0005654; GO:0005829; GO:0006412; GO:0006413; GO:0006614; GO:0015935; GO:0016020; GO:0019083; GO:0022627; GO:0033119; GO:0042788; GO:0045296; GO:0070062; GO:0098556,Cytoplasm; Cytosol; Rough endoplasmic reticulum,Homo sapiens (Human),Background Only
Q8IWU6,SULF1,GO:0001822; GO:0001937; GO:0002063; GO:0003094; GO:0004065; GO:0005509; GO:0005539; GO:0005615; GO:0005783; GO:0005794; GO:0005795; GO:0005886; GO:0006915; GO:0008449; GO:0009986; GO:0010575; GO:0014846; GO:0016525; GO:0030177; GO:0030201; GO:0030336; GO:0030513; GO:0032836; GO:0035860; GO:0040036; GO:0040037; GO:0045121; GO:0048010; GO:0048706; GO:0051216; GO:0060348; GO:0060384; GO:0060686,Endoplasmic reticulum; Golgi apparatus; Golgi stack; Cell surface,Homo sapiens (Human),Background Only
Q96S59,RANBP9,GO:0000151; GO:0000165; GO:0005634; GO:0005737; GO:0005829; GO:0005875; GO:0005886; GO:0007020; GO:0007411; GO:0008536; GO:0019899; GO:0065003; GO:0070373,Cytoplasm; Nucleus; Cell membrane,Homo sapiens (Human),Background Only
P31939,ATIC,GO:0003360; GO:0003937; GO:0004643; GO:0005829; GO:0005886; GO:0006139; GO:0006189; GO:0009116; GO:0009168; GO:0010035; GO:0016020; GO:0021549; GO:0021987; GO:0031100; GO:0042803; GO:0045296; GO:0046452; GO:0046654; GO:0070062; GO:0098761,,Homo sapiens (Human),Background Only
Q9NQ55,PPAN,GO:0000027; GO:0003723; GO:0005634; GO:0005730; GO:0030687,Nucleus; Nucleolus,Homo sapiens (Human),Background Only
